Accuracy,Kappa,C,Resample
0.5327868852459017,-4.4758464145255823e-4,0.01,Training1037
0.546448087431694,0.0395826746759406,0.1,Training1037
0.5382513661202186,0.009607070804111776,0.5,Training1037
0.5355191256830601,0,1,Training1037
0.5546448087431693,0.05732705495686226,2,Training1037
0.5382513661202186,0,0.01,Training1038
0.46994535519125685,-0.1044330377974801,0.1,Training1038
0.5601092896174863,0.06511185149928594,0.5,Training1038
0.5573770491803278,0.05888701945969952,1,Training1038
0.5409836065573771,0.009057211925866218,2,Training1038
0.5355191256830601,0.0016686990565434646,0.01,Training1039
0.5355191256830601,0,0.1,Training1039
0.5573770491803278,0.06349507202426075,0.5,Training1039
0.5437158469945356,0.03180738159353723,1,Training1039
0.5355191256830601,0,2,Training1039
0.5573770491803278,0.0647064390951823,0.01,Training1040
0.505464480874317,-0.048229374347289564,0.1,Training1040
0.5628415300546448,0.07461837489333438,0.5,Training1040
0.5601092896174863,0.06594173033636602,1,Training1040
0.5601092896174863,0.06594173033636602,2,Training1040
0.5382513661202186,0,0.01,Training1041
0.546448087431694,0.03134466375434467,0.1,Training1041
0.4262295081967213,-0.13145885470337126,0.5,Training1041
0.5601092896174863,0.06594173033636602,1,Training1041
0.5382513661202186,0.0027087162619714674,2,Training1041
0.4207650273224044,-0.13848050004401796,0.01,Training1042
0.5355191256830601,-0.0036455140820081,0.1,Training1042
0.5628415300546448,0.07215514782774014,0.5,Training1042
0.5437158469945356,0.018057385213507658,1,Training1042
0.41530054644808745,-0.16356181477850093,2,Training1042
0.4207650273224044,-0.15898906614088537,0.01,Training1043
0.5409836065573771,9.748488984206431e-4,0.1,Training1043
0.5437158469945356,0.019821033387857193,0.5,Training1043
0.5437158469945356,0.014129488048001418,1,Training1043
0.5409836065573771,0,2,Training1043
0.5846994535519126,0.1329447336429662,0.01,Training1044
0.5792349726775956,0.10182617841093775,0.1,Training1044
0.5765027322404371,0.09920924767379068,0.5,Training1044
0.5573770491803278,0.050325143351378776,1,Training1044
0.5901639344262295,0.13398744360665032,2,Training1044
0.5792349726775956,0.11444193061840104,0.01,Training1045
0.5437158469945356,0.014129488048001418,0.1,Training1045
0.5409836065573771,9.748488984206431e-4,0.5,Training1045
0.5683060109289617,0.08279406166730095,1,Training1045
0.5546448087431693,0.047878961984103935,2,Training1045
0.5546448087431693,0.05012259975161593,0.01,Training1046
0.5519125683060109,0.045571633010017286,0.1,Training1046
0.4371584699453552,-0.15464485895433253,0.5,Training1046
0.5655737704918032,0.07836305470209995,1,Training1046
0.546448087431694,0.02437614413720015,2,Training1046
0.5382513661202186,0,0.01,Training1047
0.587431693989071,0.1362258135100497,0.1,Training1047
0.5846994535519126,0.12783369391402502,0.5,Training1047
0.5792349726775956,0.11713292190094286,1,Training1047
0.4262295081967213,-0.16507503410641197,2,Training1047
0.5355191256830601,0.0016686990565434646,0.01,Training1048
0.5601092896174863,0.07042120208234716,0.1,Training1048
0.5327868852459017,-0.0037850842020848304,0.5,Training1048
0.5765027322404371,0.11450691474417,1,Training1048
0.5737704918032787,0.10625508734581417,2,Training1048
0.5081967213114754,-0.037153652392947045,0.01,Training1049
0.44808743169398907,-0.13330063155313024,0.1,Training1049
0.5409836065573771,0.02560851926977701,0.5,Training1049
0.5601092896174863,0.07118312789634616,1,Training1049
0.5491803278688525,0.04418980089265929,2,Training1049
